experiment,scenario_id,profile,suite,setup_name,stay_mode,mode,data_source,status,n_attractions,wall_time_ms,peak_memory_mb,expanded_nodes,generated_nodes,pruned_by_best_g,visits_count,total_stay_minutes,stay_utilization,total_walk_distance_m,objective_cost,bf_objective,optimality_gap,heuristic_speedup,feasibility_correctness,end_time,seed,error,timestamp_utc
astar_greedy,synthetic_main_network_stress_relaxed_n6_s0,relaxed,synthetic_main,network_stress,greedy,fixture,fixture_synthetic,ok,6,0.7098270002643403,0.0267095565795898,8.0,18.0,0.0,5.0,225.0,1.0,10487.384595224485,10487.384595224485,,,,,1200.0,1600,,2026-05-24T10:51:31.457605+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s0,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,1.2008459998469334,0.0448522567749023,8.0,54.0,0.0,5.0,225.0,1.0,10487.384595224485,10487.384595224485,,,3.717603256829693,,1320.0,1600,,2026-05-24T10:51:31.462110+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s0,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,4.4642689999818685,0.1707067489624023,64.0,336.0,0.0,5.0,225.0,1.0,10487.384595224485,10487.384595224485,,,3.717603256829693,,1320.0,1600,,2026-05-24T10:51:31.942435+00:00
astar_intervals,synthetic_main_network_stress_relaxed_n6_s0,relaxed,synthetic_main,network_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,1.2810490002266306,0.0448522567749023,8.0,54.0,0.0,5.0,225.0,1.0,10487.384595224485,10487.384595224485,,,,,1200.0,1600,,2026-05-24T10:51:31.945258+00:00
astar_greedy,synthetic_main_network_stress_relaxed_n6_s1,relaxed,synthetic_main,network_stress,greedy,fixture,fixture_synthetic,ok,6,0.5379200001698337,0.024367332458496,6.0,12.0,0.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,,,,,1200.0,1601,,2026-05-24T10:51:32.418894+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s1,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,0.8512320000590989,0.0355215072631835,6.0,36.0,0.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,,,1.8052164391970804,,1320.0,1601,,2026-05-24T10:51:32.419197+00:00
astar_intervals,synthetic_main_network_stress_relaxed_n6_s1,relaxed,synthetic_main,network_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,0.8306320000883716,0.0355215072631835,6.0,36.0,0.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,,,,,1200.0,1601,,2026-05-24T10:51:32.910823+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s1,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,1.5366580000772956,0.0698995590209961,15.0,111.0,0.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,,,1.8052164391970804,,1320.0,1601,,2026-05-24T10:51:32.915310+00:00
astar_greedy,synthetic_main_network_stress_relaxed_n6_s2,relaxed,synthetic_main,network_stress,greedy,fixture,fixture_synthetic,ok,6,1.077640999938012,0.032057762145996,13.0,30.0,0.0,5.0,224.99999999999997,0.9999999999999998,13842.44592921396,13842.44592921453,,,,,1200.0,1602,,2026-05-24T10:51:33.430891+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s2,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,1.9000719998985005,0.0631551742553711,13.0,90.0,0.0,5.0,224.99999999999997,0.9999999999999998,13842.44592921396,13842.44592921453,,,1.6867371342067605,,1320.0,1602,,2026-05-24T10:51:33.439846+00:00
astar_intervals,synthetic_main_network_stress_relaxed_n6_s2,relaxed,synthetic_main,network_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,1.8753719996311704,0.0631551742553711,13.0,90.0,0.0,5.0,224.99999999999997,0.9999999999999998,13842.44592921396,13842.44592921453,,,,,1200.0,1602,,2026-05-24T10:51:33.959629+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s2,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,3.204921999895305,0.1099538803100586,64.0,216.0,0.0,5.0,224.99999999999997,0.9999999999999998,13842.44592921396,13842.44592921453,,,1.6867371342067605,,1320.0,1602,,2026-05-24T10:51:33.962732+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s3,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,1.2111460000596708,0.0446386337280273,7.0,54.0,0.0,5.0,225.0,1.0,10195.852259057643,10195.852259057643,,,5.455206060535564,,1320.0,1603,,2026-05-24T10:51:34.456634+00:00
astar_greedy,synthetic_main_network_stress_relaxed_n6_s3,relaxed,synthetic_main,network_stress,greedy,fixture,fixture_synthetic,ok,6,0.7196269998530624,0.0266180038452148,7.0,18.0,0.0,5.0,225.0,1.0,10195.852259057643,10195.852259057643,,,,,1200.0,1603,,2026-05-24T10:51:34.457618+00:00
