experiment,scenario_id,profile,suite,setup_name,stay_mode,mode,data_source,status,n_attractions,wall_time_ms,peak_memory_mb,expanded_nodes,generated_nodes,pruned_by_best_g,visits_count,total_stay_minutes,stay_utilization,total_walk_distance_m,objective_cost,bf_objective,optimality_gap,heuristic_speedup,feasibility_correctness,end_time,seed,error,timestamp_utc
astar_greedy,bf_reference_small_n_window_stress_relaxed_n6_s0,relaxed,bf_reference_small_n,window_stress,greedy,fixture,fixture_synthetic,ok,6,0.7126269997570489,0.026709556579589844,8.0,18.0,0.0,5.0,225.0,1.0,10487.384595224483,10487.384595224483,10487.384595224483,0.0,,,1080.0,1600,,2026-05-24T10:57:38.595574+00:00
astar_intervals,bf_reference_small_n_window_stress_relaxed_n6_s0,relaxed,bf_reference_small_n,window_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,1.9285710000076506,0.044852256774902344,8.0,54.0,0.0,5.0,225.0,1.0,10487.384595224483,10487.384595224483,10487.384595224483,0.0,,,1080.0,1600,,2026-05-24T10:57:39.118783+00:00
bruteforce_greedy,bf_reference_small_n_window_stress_relaxed_n6_s0,relaxed,bf_reference_small_n,window_stress,greedy,fixture,fixture_synthetic,ok,6,2.9672089999621676,0.03522491455078125,152.0,151.0,0.0,5.0,225.0,1.0,10487.384595224483,10487.384595224483,,,,,1080.0,1600,,2026-05-24T10:57:39.658611+00:00
bruteforce_intervals,bf_reference_small_n_window_stress_relaxed_n6_s0,relaxed,bf_reference_small_n,window_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,46.21619899990037,0.29602813720703125,1924.0,4035.0,2112.0,5.0,225.0,1.0,10487.384595224483,10487.384595224483,,,,,1080.0,1600,,2026-05-24T10:57:40.173833+00:00
astar_greedy,bf_reference_small_n_window_stress_relaxed_n6_s1,relaxed,bf_reference_small_n,window_stress,greedy,fixture,fixture_synthetic,ok,6,0.607221999871399,0.024367332458496094,6.0,12.0,0.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,6109.955225169889,0.0,,,1080.0,1601,,2026-05-24T10:57:40.668013+00:00
astar_intervals,bf_reference_small_n_window_stress_relaxed_n6_s1,relaxed,bf_reference_small_n,window_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,0.844631000290974,0.035521507263183594,6.0,36.0,0.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,6109.955225169889,0.0,,,1080.0,1601,,2026-05-24T10:57:41.159108+00:00
bruteforce_greedy,bf_reference_small_n_window_stress_relaxed_n6_s1,relaxed,bf_reference_small_n,window_stress,greedy,fixture,fixture_synthetic,ok,6,2.3936879997563665,0.03176116943359375,120.0,119.0,0.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,,,,,1080.0,1601,,2026-05-24T10:57:41.627644+00:00
bruteforce_intervals,bf_reference_small_n_window_stress_relaxed_n6_s1,relaxed,bf_reference_small_n,window_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,36.47434100003011,0.26926231384277344,1511.0,3165.0,1655.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,,,,,1080.0,1601,,2026-05-24T10:57:42.140591+00:00
astar_greedy,bf_reference_small_n_window_stress_relaxed_n6_s2,relaxed,bf_reference_small_n,window_stress,greedy,fixture,fixture_synthetic,ok,6,1.1103400001957198,0.032057762145996094,13.0,30.0,0.0,5.0,224.99999999999994,0.9999999999999998,13842.44592921396,13842.44592921453,13842.44592921453,0.0,,,1080.0,1602,,2026-05-24T10:57:42.612271+00:00
astar_intervals,bf_reference_small_n_window_stress_relaxed_n6_s2,relaxed,bf_reference_small_n,window_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,1.897769999686716,0.0631551742553711,13.0,90.0,0.0,5.0,224.99999999999994,0.9999999999999998,13842.44592921396,13842.44592921453,13842.44592921453,0.0,,,1080.0,1602,,2026-05-24T10:57:43.085266+00:00
bruteforce_greedy,bf_reference_small_n_window_stress_relaxed_n6_s2,relaxed,bf_reference_small_n,window_stress,greedy,fixture,fixture_synthetic,ok,6,1.7774649995772052,0.0248260498046875,77.0,76.0,0.0,5.0,224.99999999999994,0.9999999999999998,13842.44592921396,13842.44592921453,,,,,1080.0,1602,,2026-05-24T10:57:43.547464+00:00
