experiment,scenario_id,profile,suite,setup_name,stay_mode,mode,data_source,status,n_attractions,wall_time_ms,peak_memory_mb,expanded_nodes,generated_nodes,pruned_by_best_g,visits_count,total_stay_minutes,stay_utilization,total_walk_distance_m,objective_cost,bf_objective,optimality_gap,heuristic_speedup,feasibility_correctness,end_time,seed,error,timestamp_utc
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s0,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,1.2008459998469334,0.044852256774902344,8.0,54.0,0.0,5.0,225.0,1.0,10487.384595224483,10487.384595224483,,,3.717603256829693,,1320.0,1600,,2026-05-24T10:51:31.462110+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s0,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,4.4642689999818685,0.17070674896240234,64.0,336.0,0.0,5.0,225.0,1.0,10487.384595224483,10487.384595224483,,,3.717603256829693,,1320.0,1600,,2026-05-24T10:51:31.942435+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s1,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,0.8512320000590989,0.035521507263183594,6.0,36.0,0.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,,,1.8052164391970804,,1320.0,1601,,2026-05-24T10:51:32.419197+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s1,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,1.5366580000772956,0.0698995590209961,15.0,111.0,0.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,,,1.8052164391970804,,1320.0,1601,,2026-05-24T10:51:32.915310+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s2,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,1.9000719998985005,0.0631551742553711,13.0,90.0,0.0,5.0,224.99999999999994,0.9999999999999998,13842.44592921396,13842.44592921453,,,1.6867371342067605,,1320.0,1602,,2026-05-24T10:51:33.439846+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s2,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,3.204921999895305,0.1099538803100586,64.0,216.0,0.0,5.0,224.99999999999994,0.9999999999999998,13842.44592921396,13842.44592921453,,,1.6867371342067605,,1320.0,1602,,2026-05-24T10:51:33.962732+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s3,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,1.2111460000596708,0.044638633728027344,7.0,54.0,0.0,5.0,225.0,1.0,10195.852259057643,10195.852259057643,,,5.455206060535564,,1320.0,1603,,2026-05-24T10:51:34.456634+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s3,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,6.607050999718922,0.25719547271728516,96.0,507.0,0.0,5.0,225.0,1.0,10195.852259057643,10195.852259057643,,,5.455206060535564,,1320.0,1603,,2026-05-24T10:51:34.948054+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s4,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,0.9980380000342848,0.041014671325683594,7.0,48.0,0.0,5.0,225.0,1.0,9158.086851698165,9158.086851698165,,,5.237675318773456,,1320.0,1604,,2026-05-24T10:51:35.452323+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s4,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,5.227398999977595,0.20972728729248047,59.0,393.0,0.0,5.0,225.0,1.0,9158.086851698165,9158.086851698165,,,5.237675318773456,,1320.0,1604,,2026-05-24T10:51:35.962990+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s5,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,2.6131989998248173,0.08335018157958984,17.0,135.0,0.0,5.0,225.00000000000006,1.0000000000000002,12022.517538356984,12022.517538356416,,,2.3548279332503275,,1320.0,1605,,2026-05-24T10:51:36.462467+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s5,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,6.153633999929298,0.23733806610107422,85.0,462.0,0.0,5.0,225.00000000000006,1.0000000000000002,12022.517538356984,12022.517538356416,,,2.3548279332503275,,1320.0,1605,,2026-05-24T10:51:37.000376+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s6,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,1.0467399997651228,0.040732383728027344,7.0,45.0,0.0,5.0,225.00000000000006,1.0000000000000002,8261.557676432843,8261.557676432276,,,3.0984045710911428,,1320.0,1606,,2026-05-24T10:51:37.520790+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s6,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,3.2432240000161983,0.1256399154663086,43.0,234.0,0.0,5.0,225.00000000000006,1.0000000000000002,8261.557676432843,8261.557676432276,,,3.0984045710911428,,1320.0,1606,,2026-05-24T10:51:38.053934+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s7,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,1.1652440002762887,0.039793968200683594,8.0,45.0,0.0,5.0,224.99999999999994,0.9999999999999998,11467.310855570126,11467.310855570693,,,1.8407998660926552,,1320.0,1607,,2026-05-24T10:51:38.540897+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s7,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,2.1449809996738622,0.08554744720458984,32.0,153.0,0.0,5.0,224.99999999999994,0.9999999999999998,11467.310855570126,11467.310855570693,,,1.8407998660926552,,1320.0,1607,,2026-05-24T10:51:39.055051+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s8,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,2.113580999775877,0.07138729095458984,14.0,108.0,0.0,5.0,224.99999999999994,0.9999999999999998,13861.593900436073,13861.593900436641,,,3.3320071483130858,,1320.0,1608,,2026-05-24T10:51:39.568428+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s8,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,7.042466999791941,0.26839542388916016,108.0,537.0,0.0,5.0,224.99999999999994,0.9999999999999998,13861.593900436073,13861.593900436641,,,3.3320071483130858,,1320.0,1608,,2026-05-24T10:51:40.056068+00:00
astar_intervals,heuristic_ablation_baseline_relaxed_n6_s9,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,0.9334360001957975,0.035719871520996094,6.0,36.0,0.0,5.0,225.0,1.0,5965.64752642925,5965.64752642925,,,2.1330610768413525,,1320.0,1609,,2026-05-24T10:51:40.565090+00:00
astar_intervals_no_heuristic,heuristic_ablation_baseline_relaxed_n6_s9,relaxed,heuristic_ablation,baseline,intervals_15_min,fixture,fixture_synthetic,ok,6,1.9910759997401328,0.08277034759521484,21.0,141.0,0.0,5.0,225.0,1.0,5965.64752642925,5965.64752642925,,,2.1330610768413525,,1320.0,1609,,2026-05-24T10:51:41.081160+00:00
