experiment,scenario_id,profile,suite,setup_name,stay_mode,mode,data_source,status,n_attractions,wall_time_ms,peak_memory_mb,expanded_nodes,generated_nodes,pruned_by_best_g,visits_count,total_stay_minutes,stay_utilization,total_walk_distance_m,objective_cost,bf_objective,optimality_gap,heuristic_speedup,feasibility_correctness,end_time,seed,error,timestamp_utc
astar_greedy,real_reference_real_reference_relaxed_n6_s0,relaxed,real_reference,real_reference,greedy,real,graphhopper_gtfs,ok,6,1734.632065000369,6.39505672454834,8,22,0,5,300.00000000000006,1.0000000000000002,2021.288,2021.2879999994316,,,,,1320.0,1600,,2026-05-24T11:21:07.098048+00:00
astar_intervals,real_reference_real_reference_relaxed_n6_s0,relaxed,real_reference,real_reference,intervals_15_min,real,graphhopper_gtfs,ok,6,1220.6270570004563,1.376577377319336,8,88,0,5,300.00000000000006,1.0000000000000002,2021.288,2021.2879999994316,,,,,1320.0,1600,,2026-05-24T11:21:08.895669+00:00
astar_greedy,real_reference_real_reference_relaxed_n6_s1,relaxed,real_reference,real_reference,greedy,real,graphhopper_gtfs,ok,6,1062.909166999816,1.3166837692260742,8,22,0,5,300.00000000000006,1.0000000000000002,3046.358,3046.3579999994317,,,,,1320.0,1601,,2026-05-24T11:21:10.533322+00:00
astar_intervals,real_reference_real_reference_relaxed_n6_s1,relaxed,real_reference,real_reference,intervals_15_min,real,graphhopper_gtfs,ok,6,1045.576670999253,1.2988462448120117,8,88,0,5,300.00000000000006,1.0000000000000002,3046.358,3046.3579999994317,,,,,1320.0,1601,,2026-05-24T11:21:12.124643+00:00
astar_greedy,real_reference_real_reference_relaxed_n6_s2,relaxed,real_reference,real_reference,greedy,real,graphhopper_gtfs,ok,6,1167.8982789999282,1.344731330871582,7,18,0,5,300.00000000000006,1.0000000000000002,2328.346,2328.3459999994316,,,,,1320.0,1602,,2026-05-24T11:21:13.848536+00:00
astar_intervals,real_reference_real_reference_relaxed_n6_s2,relaxed,real_reference,real_reference,intervals_15_min,real,graphhopper_gtfs,ok,6,1092.8942990003634,1.3290491104125977,7,72,0,5,300.00000000000006,1.0000000000000002,2328.346,2328.3459999994316,,,,,1320.0,1602,,2026-05-24T11:21:15.490740+00:00
astar_greedy,real_reference_real_reference_relaxed_n9_s0,relaxed,real_reference,real_reference,greedy,real,graphhopper_gtfs,ok,9,2665.3091629996197,1.9430274963378906,377,1484,5,8,480.0000000000001,1.0000000000000002,2875.748,2875.747999998863,,,,,1320.0,1900,,2026-05-24T11:21:18.708061+00:00
astar_intervals,real_reference_real_reference_relaxed_n9_s0,relaxed,real_reference,real_reference,intervals_15_min,real,graphhopper_gtfs,ok,9,2679.681810999682,4.388593673706055,377,5936,23,8,480.0000000000001,1.0000000000000002,2875.748,2875.747999998863,,,,,1320.0,1900,,2026-05-24T11:21:21.952466+00:00
astar_greedy,real_reference_real_reference_relaxed_n9_s1,relaxed,real_reference,real_reference,greedy,real,graphhopper_gtfs,ok,9,2333.4864210000887,1.4967231750488281,45,227,0,8,480.0,1.0,2784.7000000000003,2784.7000000000003,,,,,1320.0,1901,,2026-05-24T11:21:24.836382+00:00
astar_intervals,real_reference_real_reference_relaxed_n9_s1,relaxed,real_reference,real_reference,intervals_15_min,real,graphhopper_gtfs,ok,9,2389.662108000266,1.6154327392578125,45,908,0,8,480.0,1.0,2784.7000000000003,2784.7000000000003,,,,,1320.0,1901,,2026-05-24T11:21:27.779551+00:00
astar_greedy,real_reference_real_reference_relaxed_n9_s2,relaxed,real_reference,real_reference,greedy,real,graphhopper_gtfs,ok,9,2463.4371479996844,1.5501270294189453,74,361,0,8,480.00000000000017,1.0000000000000004,3413.3970000000004,3413.396999998295,,,,,1320.0,1902,,2026-05-24T11:21:30.809653+00:00
astar_intervals,real_reference_real_reference_relaxed_n9_s2,relaxed,real_reference,real_reference,intervals_15_min,real,graphhopper_gtfs,ok,9,2503.6041010007466,2.0093040466308594,74,1444,0,8,480.00000000000017,1.0000000000000004,3413.3970000000004,3413.396999998295,,,,,1320.0,1902,,2026-05-24T11:21:33.861598+00:00
astar_greedy,real_reference_real_reference_relaxed_n12_s0,relaxed,real_reference,real_reference,greedy,real,graphhopper_gtfs,ok,12,4572.213133999867,5.9872846603393555,1417,8530,31,11,660.0,1.0,3228.268,3228.2679999994316,,,,,1320.0,2200,,2026-05-24T11:21:38.996566+00:00
astar_intervals,real_reference_real_reference_relaxed_n12_s0,relaxed,real_reference,real_reference,intervals_15_min,real,graphhopper_gtfs,ok,12,4914.780890000657,20.526768684387207,1417,34120,130,11,660.0,1.0,3228.268,3228.2679999994316,,,,,1320.0,2200,,2026-05-24T11:21:44.561917+00:00
astar_greedy,real_reference_real_reference_relaxed_n12_s1,relaxed,real_reference,real_reference,greedy,real,graphhopper_gtfs,ok,12,4039.2012780002915,2.2615232467651367,227,1653,0,11,660.0,1.0,4320.188,4320.1880000005685,,,,,1320.0,2201,,2026-05-24T11:21:49.154228+00:00
astar_intervals,real_reference_real_reference_relaxed_n12_s1,relaxed,real_reference,real_reference,intervals_15_min,real,graphhopper_gtfs,ok,12,4065.200477999497,5.033681869506836,227,6612,0,11,660.0,1.0,4320.188,4320.1880000005685,,,,,1320.0,2201,,2026-05-24T11:21:53.789883+00:00
astar_greedy,real_reference_real_reference_relaxed_n12_s2,relaxed,real_reference,real_reference,greedy,real,graphhopper_gtfs,ok,12,4762.3659110004155,10.21025276184082,2634,16519,1,11,660.0,1.0,5148.467000000001,5148.466999999432,,,,,1320.0,2202,,2026-05-24T11:21:59.147581+00:00
astar_intervals,real_reference_real_reference_relaxed_n12_s2,relaxed,real_reference,real_reference,intervals_15_min,real,graphhopper_gtfs,ok,12,5460.150353000245,38.733235359191895,2634,66076,4,11,660.0,1.0,5148.467000000001,5148.466999999432,,,,,1320.0,2202,,2026-05-24T11:22:05.364116+00:00
