experiment,scenario_id,profile,suite,setup_name,stay_mode,mode,data_source,status,n_attractions,wall_time_ms,peak_memory_mb,expanded_nodes,generated_nodes,pruned_by_best_g,visits_count,total_stay_minutes,stay_utilization,total_walk_distance_m,objective_cost,bf_objective,optimality_gap,heuristic_speedup,feasibility_correctness,end_time,seed,error,timestamp_utc
astar_greedy,synthetic_main_network_stress_relaxed_n6_s0,relaxed,synthetic_main,network_stress,greedy,fixture,fixture_synthetic,ok,6,0.7098270002643403,0.026709556579589844,8.0,18.0,0.0,5.0,225.0,1.0,10487.384595224483,10487.384595224483,,,,,1200.0,1600,,2026-05-24T10:51:31.457605+00:00
astar_intervals,synthetic_main_network_stress_relaxed_n6_s0,relaxed,synthetic_main,network_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,1.2810490002266306,0.044852256774902344,8.0,54.0,0.0,5.0,225.0,1.0,10487.384595224483,10487.384595224483,,,,,1200.0,1600,,2026-05-24T10:51:31.945258+00:00
astar_greedy,synthetic_main_network_stress_relaxed_n6_s1,relaxed,synthetic_main,network_stress,greedy,fixture,fixture_synthetic,ok,6,0.5379200001698337,0.024367332458496094,6.0,12.0,0.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,,,,,1200.0,1601,,2026-05-24T10:51:32.418894+00:00
astar_intervals,synthetic_main_network_stress_relaxed_n6_s1,relaxed,synthetic_main,network_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,0.8306320000883716,0.035521507263183594,6.0,36.0,0.0,5.0,225.0,1.0,6109.955225169889,6109.955225169889,,,,,1200.0,1601,,2026-05-24T10:51:32.910823+00:00
astar_greedy,synthetic_main_network_stress_relaxed_n6_s2,relaxed,synthetic_main,network_stress,greedy,fixture,fixture_synthetic,ok,6,1.077640999938012,0.032057762145996094,13.0,30.0,0.0,5.0,224.99999999999994,0.9999999999999998,13842.44592921396,13842.44592921453,,,,,1200.0,1602,,2026-05-24T10:51:33.430891+00:00
astar_intervals,synthetic_main_network_stress_relaxed_n6_s2,relaxed,synthetic_main,network_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,1.8753719996311702,0.0631551742553711,13.0,90.0,0.0,5.0,224.99999999999994,0.9999999999999998,13842.44592921396,13842.44592921453,,,,,1200.0,1602,,2026-05-24T10:51:33.959629+00:00
astar_greedy,synthetic_main_network_stress_relaxed_n6_s3,relaxed,synthetic_main,network_stress,greedy,fixture,fixture_synthetic,ok,6,0.7196269998530624,0.026618003845214844,7.0,18.0,0.0,5.0,225.0,1.0,10195.852259057643,10195.852259057643,,,,,1200.0,1603,,2026-05-24T10:51:34.457618+00:00
astar_intervals,synthetic_main_network_stress_relaxed_n6_s3,relaxed,synthetic_main,network_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,1.203845999953046,0.044638633728027344,7.0,54.0,0.0,5.0,225.0,1.0,10195.852259057643,10195.852259057643,,,,,1200.0,1603,,2026-05-24T10:51:34.952108+00:00
astar_greedy,synthetic_main_network_stress_relaxed_n6_s4,relaxed,synthetic_main,network_stress,greedy,fixture,fixture_synthetic,ok,6,0.6140240002423525,0.024703025817871094,7.0,16.0,0.0,5.0,225.0,1.0,9158.086851698165,9158.086851698165,,,,,1200.0,1604,,2026-05-24T10:51:35.452012+00:00
astar_intervals,synthetic_main_network_stress_relaxed_n6_s4,relaxed,synthetic_main,network_stress,intervals_15_min,fixture,fixture_synthetic,ok,6,1.0358389999964857,0.041014671325683594,7.0,48.0,0.0,5.0,225.0,1.0,9158.086851698165,9158.086851698165,,,,,1200.0,1604,,2026-05-24T10:51:35.951762+00:00
astar_greedy,synthetic_main_network_stress_relaxed_n6_s5,relaxed,synthetic_main,network_stress,greedy,fixture,fixture_synthetic,ok,6,1.4188540003488015,0.039458274841308594,17.0,45.0,0.0,5.0,225.00000000000006,1.0000000000000002,12022.517538356984,12022.517538356416,,,,,1200.0,1605,,2026-05-24T10:51:36.442516+00:00
